object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
NGC 85A,113.89416396880138,-39.83275107247255,213186680.34033465,0.0,GX
NGC 85B,113.91022265545945,-39.840582943443515,283051550.81833243,0.0,GX
NGC 86,113.91781230358872,-39.790294446349016,245921908.78159875,0.0,GX
NGC 87,316.17120765629596,-67.71443110505784,0.0,0.0,GX
NGC 88,316.1080433460337,-67.71170831856948,0.0,0.0,GX
NGC 89,316.0715654560591,-67.68957018630665,0.0,0.0,GX
NGC 90,114.00042803699648,-39.9582181332333,251792723.58009845,0.0,GX
NGC 91,113.99546347331945,-39.989734704489784,6647.737391846793,0.0,Star
NGC 92,316.05344932694936,-67.73439208999454,0.0,0.0,GX
NGC 93,114.06088493899611,-39.95695462368388,252379805.0599484,0.0,GX
NGC 94,114.12652008105057,-39.88874732574609,0.0,0.0,GX
NGC 95,111.29225839638528,-51.71875126377579,223332318.06248266,0.0,GX
NGC 96,114.15942276466222,-39.82851484903834,0.0,0.0,GX
NGC 97,115.46590521315987,-32.70657761708849,0.0,0.0,GX
NGC 98,318.5327851118922,-70.9825634545991,0.0,0.0,GX
NGC 99,113.30079567441696,-46.58754031550698,247465715.636019,13.65,GX
NGC 100,113.47931530486228,-45.88203421552944,58039527.41072347,0.0,GX
NGC 101,349.0897477710215,-81.94876920698076,149771008.63728136,0.0,GX
NGC 102,96.17848604898217,-75.41597926605064,327254437.4993326,0.0,GX
NGC 103,119.79462713536086,-1.3861109664583,9853.184170148668,9.8,OS
NGC 103 1,119.84641527797338,-1.394105917671259,11197.618588887082,13.27,Star
NGC 103 2,119.84539215980354,-1.399658588284461,4137.448412255035,17.27,Star
NGC 103 6,119.84000364728597,-1.3813255627472467,0.0,16.28,Star
NGC 103 7,119.8299492565858,-1.384210865733697,11082.17814825316,14.94,Star
NGC 103 8,119.82655243080893,-1.3764219109969873,0.0,15.81,Star
NGC 103 11,119.82056398844458,-1.37664697507031,0.0,16.52,Star
NGC 103 14,119.77581076174529,-1.3836920665772605,10877.631567795535,13.04,Star
NGC 103 15,119.7730087956636,-1.3903975512612963,11972.004501006653,13.86,Star
NGC 103 16,119.76575707017878,-1.3981244097938623,11170.86061094224,13.93,Star
NGC 103 17,119.76678189863102,-1.4042675809013718,12756.735332395145,14.38,Star
NGC 103 19,119.7957973487639,-1.4138809547571183,0.0,16.72,Star
NGC 103 20,119.79076143625377,-1.42556134658221,0.0,16.91,Star
NGC 103 22,119.80098979603989,-1.4358169008445434,0.0,14.95,Star
NGC 103 23,119.82724146856296,-1.4306286566114175,0.0,13.96,Star
NGC 103 26,119.81725442561255,-1.414956114703752,4758.3138220193505,16.23,Star
NGC 103 28,119.83458028246302,-1.4084149794679006,11263.868124637129,14.54,Star
NGC 103 29,119.88932906978543,-1.399346269665449,10683.14451977635,11.09,Star
NGC 103 30,119.87377021161565,-1.4548127144306824,2425.5323525021954,15.68,Star
NGC 103 31,119.86899147069876,-1.4635679478168588,14844.59314908403,14.85,Star
NGC 103 32,119.87700289125905,-1.468960968018557,0.0,12.29,Star
NGC 103 33,119.85087317564539,-1.466352400881566,9010.641522860482,12.65,Star
NGC 103 34,119.82471304642135,-1.5010913704138134,0.0,9.91,Star
NGC 103 35,119.82583954325783,-1.5558397773788506,11778.850562821895,11.74,Star
NGC 103 36,119.79216424669042,-1.5547287992826295,13279.982029596724,14.6,Star
NGC 103 37,119.73112982922108,-1.4373827460386024,3768.828920357625,14.06,Star
NGC 103 39,119.6666361293199,-1.3889341027074755,7499.571908179116,10.7,Star
NGC 103 40,119.67204292964738,-1.3879042017759493,2497.8562246304245,11.13,Star
NGC 103 41,119.64877900845202,-1.3710821359336798,8563.677149024415,13.13,Star
NGC 103 43,119.65658787001756,-1.3559804379091909,12093.297926557094,11.393,Star
NGC 103 45,119.67268348572529,-1.3267726648318978,11787.363244279719,13.13,Star
NGC 103 46,119.6716546982354,-1.3170129211294097,10017.087534631451,12.35,Star
NGC 103 47,119.68912161194503,-1.32976524783117,2607.927152818362,10.88,Star
NGC 103 48,119.6964681622393,-1.3172508720338383,1767.9327653091018,10.89,Star
NGC 103 50,119.71218139072322,-1.3029510878693777,9257.916165218568,12.37,Star
NGC 103 51,119.73285827752063,-1.3078487794791747,3506.240420675841,11.5,Star
NGC 103 53,119.67350165169086,-1.1944248731933496,266.6201186664648,8.57,Star
NGC 103 54,119.77847403916975,-1.2380943721040045,1375.4754822351392,11.7,Star
NGC 103 55,119.79649720282774,-1.2735790975468768,2393.7024254466187,11.92,Star
NGC 103 56,119.83923716730993,-1.267228286064968,1789.9434284578103,11.07,Star
NGC 103 57,119.85737078732161,-1.2658807697754149,7167.098370683314,11.36,Star
NGC 103 58,120.0818829105698,-1.351365406034643,640.707133001355,9.36,Star
NGC 103 59,119.98962511955465,-1.5611320109073175,1110.5296873335687,8.76,Star
NGC 103 60,119.34620799087988,-1.5971207674912262,3860.4775578642484,9.08,Star
NGC 103 61,119.35206088833466,-1.586637581404433,1175.6927961895165,9.05,Star
NGC 103 65,119.74930107131235,-0.8641776772115465,5824.343385493046,8.84,Star
NGC 103 88,119.80326668316744,-1.3628670287957665,0.0,13.75,Star
NGC 103A,96.33728336969006,-60.188551946914465,0.0,0.0,GN
NGC 104,305.89533273256643,-44.88911352575006,14880.884732308277,4.09,KS
NGC 104 1,305.8760746263976,-44.8984791296269,0.0,20.137,Star
NGC 104 2,305.8779900007944,-44.89627466988377,0.0,12.083,Star
NGC 104 3,305.8783646673939,-44.893690465453524,0.0,17.576,Star
NGC 104 4,305.88095197436587,-44.89123214577501,0.0,0.0,Star
NGC 104 5,305.88303030241553,-44.893872950334824,0.0,0.0,undefined
NGC 104 6,305.8834660522129,-44.88743573132995,0.0,0.0,undefined
NGC 104 7,305.8834424027745,-44.88281723415478,0.0,0.0,Star
NGC 104 8,305.88727092230147,-44.89769863528297,0.0,0.0,Star
NGC 104 9,305.88534455318245,-44.88648792030924,0.0,17.12,Star
NGC 104 10,305.88764505202874,-44.89330724829018,0.0,0.0,Star
NGC 104 11,305.89046022339613,-44.904673906273246,0.0,0.0,Star
NGC 104 12,305.79012561335526,-44.944304642653975,0.0,0.0,Star
NGC 104 12a,96.33728336969006,-60.188551946914465,0.0,0.0,Star
NGC 104 13,305.88989896203236,-44.8965413604391,0.0,0.0,Star
NGC 104 15,96.33728336969006,-60.188551946914465,0.0,13.75,Star
NGC 104 16,96.33728336969006,-60.188551946914465,0.0,14.62,Star
NGC 104 17,305.8913363089648,-44.895657259313225,0.0,14.26,undefined
NGC 104 18,305.8891436498764,-44.88414909162233,0.0,21.136,Star
NGC 104 19,96.33728336969006,-60.188551946914465,0.0,14.61,Star
NGC 104 20,96.33728336969006,-60.188551946914465,0.0,13.95,Star
NGC 104 21,96.33728336969006,-60.188551946914465,0.0,12.05,Star
NGC 104 23,96.33728336969006,-60.188551946914465,0.0,14.69,Star
NGC 104 25,96.33728336969006,-60.188551946914465,0.0,15.45,Star
NGC 104 26,96.33728336969006,-60.188551946914465,0.0,14.98,Star
NGC 104 27,96.33728336969006,-60.188551946914465,0.0,14.23,Star
NGC 104 29,96.33728336969006,-60.188551946914465,0.0,15.06,Star
NGC 104 30,96.33728336969006,-60.188551946914465,0.0,14.19,Star
NGC 104 33,96.33728336969006,-60.188551946914465,0.0,14.22,Star
NGC 104 35,96.33728336969006,-60.188551946914465,0.0,15.12,Star
NGC 104 37,305.8960756787806,-44.88957611575843,0.0,12.96,undefined
NGC 104 41,96.33728336969006,-60.188551946914465,0.0,13.3,Star
NGC 104 45,96.33728336969006,-60.188551946914465,0.0,13.42,Star
NGC 104 47,96.33728336969006,-60.188551946914465,0.0,0.0,Star
NGC 104 51,96.33728336969006,-60.188551946914465,0.0,14.85,Star
NGC 104 58,96.33728336969006,-60.188551946914465,0.0,14.51,Star
NGC 104 61,96.33728336969006,-60.188551946914465,0.0,14.47,Star
NGC 104 63,96.33728336969006,-60.188551946914465,0.0,13.61,Star
NGC 104 66,305.87597490968847,-44.980670080436525,0.0,12.58,Star
